c2_2_6

VEHICLE
NUMBER     CAPACITY
  50          700

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   RELEASE DATE

    0      70         70          0          0       3598          0          0
    1      38        105         20       2629       3147         90       1442
    2     100          5         20        424       1073         90          0
    3     111         78         10        881       1322         90          0
    4      96         62         10       2668       3125         90       1442
    5     122         11         30       1754       2251         90        811
    6      94         18         30        143        562         90          0
    7      60         89         10       2357       2998         90       1213
    8      67        123         20        704       1269         90          0
    9      99         53         20       1667       2128         90        811
   10      26         24         20         63        539         90          0
   11      93         61         10       2690       3290         90       1596
   12      27         32         20       1029       1549         90          0
   13      25         31         20        875       1519         90          0
   14      98         36         10       2900       3423         90       1630
   15     101         68         10        847       1147         90          0
   16      49         48         10       1216       1749         90          0
   17      56         95         10       2361       2800         90       1213
   18      14        107         20        682       1148         90          0
   19      98         46         20       1648       2341         90        811
   20     131          4         40       1496       1938         90        811
   21      94         89         20       2627       3122         90       1442
   22      70        113         30       1177       1584         90          0
   23      94         59         30       2770       3395         90       1596
   24      64         59         10       1747       2253         90        811
   25     112          3         10       1149       1701         90          0
   26      20        108         10        596       1043         90          0
   27      10        118         20       1350       1842         90        811
   28      76         65         40          7        571         90          0
   29     103         12         20        429        872         90          0
   30      44         62         30        963       1430         90          0
   31      96        138         10       1904       2232         90        811
   32      27         44         20       1186       1786         90          0
   33      21         28         40        792       1412         90          0
   34      26         91         10       2933       3429         90       1630
   35      98         75         10        487       1119         90          0
   36      69         48         20       2889       3486         90       1687
   37      19        116         10       1886       2306         90        811
   38      60        111         10        252        760         90          0
   39      54        102         20         35        646         90          0
   40      63        103         20         33        556         90          0
   41      91         91         10        273        734         90          0
   42      77         15         10         55        498         90          0
   43      77        117         30       1422       1902         90        811
   44     115         41         20       2542       2994         90       1213
   45      12         33         10        652       1169         90          0
   46      44         82         20        627       1137         90          0
   47     117         55         20       1268       1561         90          0
   48     116         10         20       1047       1425         90          0
