r2_2_9

VEHICLE
NUMBER     CAPACITY
  50         1000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   RELEASE DATE

    0      70         70          0          0       2535          0          0
    1     101          0          9       1782       2321         10       1053
    2      26         50          7       1442       1778         10        510
    3      30         57         20        723       1239         10          0
    4      29         60         14         42        312         10          0
    5      69        116         26       1383       1492         10        246
    6     137        137         27        319        598         10          0
    7     103        119         18       1106       1686         10        418
    8      78        111         22         41        315         10          0
    9     107         25         13        980       1330         10        246
   10      17        138          8       1461       2120         10        852
   11      37        138          5        627       1170         10          0
   12      20         69         13       1317       1828         10        560
   13     121        123          9        769       1408         10        246
   14      22        104         11        791       1178         10          0
   15     137          7         40        574        793         10          0
   16      50        106         25       1230       1452         10        246
   17      46        112         10       1025       1383         10        246
   18      79         72         22          9         93         10          0
   19     104         32         18        462        736         10          0
   20       8         87         17       1424       1906         10        638
   21     109        139          8        227        796         10          0
   22      80        103         15       1141       1955         10        687
   23      78         63         19         10        226         10          0
   24      95        135         27       1562       1762         10        494
   25      37         79          5       1719       1829         10        561
   26      64        132          8        198        382         10          0
   27     133        130         13        701       1198         10          0
   28      39         13         20       1378       1749         10        481
   29     120         14         20        976       1213         10          0
   30      10         86         14       1431       1974         10        706
   31     140         42         13        256        668         10          0
   32     121        124         21        550        769         10          0
   33      42         29         12        222        379         10          0
   34      44         58         30         28        380         10          0
   35      32          6         11        285        596         10          0
   36      41         36         13         97        435         10          0
   37     106         10         13       1126       1384         10        246
   38     107        102         12        632       1241         10          0
   39      83         38         22       1647       2285         10       1017
   40     132        133         24        414        824         10          0
   41      81         57          8         17        482         10          0
   42     120         52         20       1465       1649         10        381
   43     113         32         36        431        841         10          0
   44     137        101         12        470       1005         10          0
   45      82        103         15        100        298         10          0
   46      10        111         21       1887       2176         10        908
   47      90         44          6         32        682         10          0
   48     139         73         10        150        667         10          0
   49      89         24         15        989       1539         10        308
   50      64        138         15       1742       1897         10        629
   51      98          4         20        606        935         10          0
   52      61         34          7       1703       2197         10        929
   53      60         84         23       1790       2183         10        915
   54      13         48         15       1554       1929         10        661
   55      84         88         16       1455       1514         10        246
   56      86         40         22         34        289         10          0
   57      69        115         20        630       1213         10          0
   58      59        115         26       1248       1382         10        246
   59     105          2          1        597       1312         10        246
   60     107         77         34         37        451         10          0
   61     104         54         13        184        357         10          0
   62      54         33         20         40        415         10          0
   63      32         52         32        384        944         10          0
   64      37        125         10       1199       1668         10        400
   65      99         34          9        274        453         10          0
   66      38        122         13        805       1187         10          0
   67      85         75         37         15        546         10          0
   68     109        131         16        913       1017         10          0
   69     103         77         17       1087       1358         10        246
   70      47         83          1       1085       1576         10        308
   71     139         68         25        159        587         10          0
   72      88         29         33       2146       2481         10       1213
   73      39        100         31         98        550         10          0
   74      48         47         19         31        566         10          0
   75     104         73         17        759       1355         10        246
   76       9         19         10       1360       1742         10        474
   77     103         44         12         42        420         10          0
   78      73         96          9        659        790         10          0
   79      44        116         27        111        433         10          0
   80      71         70          9       1683       2280         10       1012
   81      83         12         29        813       1148         10          0
   82      36         54         15       1305       1790         10        522
   83      16         92         10       1337       1653         10        385
   84      56        139         18       1227       1371         10        246
   85      27        104          1       1938       2200         10        932
   86      67         96         26       1909       2147         10        879
   87      34         72         21       1768       2489         10       1221
   88     120         22         39        340        692         10          0
   89      54        106          9       1000       1475         10        246
   90      63        129          7        762       1008         10          0
   91      33        117         20         59        840         10          0
   92     102         52         15        567        824         10          0
   93      13        129         25       1180       1750         10        482
   94      34         20         15        641        683         10          0
   95     114        109         16        147        591         10          0
   96      86         80         21       1343       1772         10        504
   97      33          0         20       1749       2231         10        963
   98      18        104         18       1152       1661         10        393
   99      70         83         23       1895       2104         10        836
  100      12         48          4         62        614         10          0
  101     139         72         23       1244       1572         10        308
  102     109         78         21        820       1201         10          0
  103     116         22         32        540        681         10          0
  104      27         46         35        673       1118         10          0
  105      19        120         16        992       1218         10          0
  106      23         39         20       1426       1507         10        246
  107     110         99         21       1145       1397         10        246
  108      15         18         10       1458       1862         10        594
  109      18         70         26       1410       1837         10        569
