rc2_2_6

VEHICLE
NUMBER     CAPACITY
  50         1000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   RELEASE DATE

    0      70         70          0          0       2535          0          0
    1      10         86         14       1582       1822         10        574
    2      16         62         15       1524       1764         10        574
    3      84         36         10        347        587         10          0
    4      79         72         22          9        249         10          0
    5      16         39         20        264        504         10          0
    6      61         54         10        101        341         10          0
    7      96         26         10        169        409         10          0
    8      16         92         10       1375       1615         10        574
    9      85        106         20        120        360         10          0
   10       6         25         10        461        701         10          0
   11      37        125         10       1314       1554         10        574
   12      87        108         20        171        411         10          0
   13      18        104         18       1287       1527         10        574
   14      61         48         20        210        450         10          0
   15      97         29         30         76        316         10          0
   16     112         67         10        270        510         10          0
   17      50        106         25       1221       1461         10        574
   18      99         28         30        269        509         10          0
   19      15          9          2       1581       1821         10        574
   20      19         37         20        445        685         10          0
   21      90        101         10        561        801         10          0
   22     125         68         20        708        948         10          0
   23     127        108         10        479        719         10          0
   24      90         44          6        149        389         10          0
   25       4         23         10        410        650         10          0
   26      17         37         30        353        593         10          0
   27     113         32         36        516        756         10          0
   28      63         57         10         14        254         10          0
   29      94        104         10        453        693         10          0
   30      58         95         35       1880       2120         10        852
   31     137         96          9        167        407         10          0
   32     127        112         20        423        663         10          0
   33     103        119         18       1276       1516         10        574
   34      20         69         13       1452       1692         10        574
   35       2         28         10        256        496         10          0
   36      88         29         33       2195       2435         10       1167
   37      86        102         10         63        303         10          0
   38     126        112         10        379        619         10          0
   39      61         34          7       1830       2070         10        852
   40     113         69         20        221        461         10          0
   41     109         78         21        891       1131         10          0
   42      21         48         10         95        335         10          0
   43      86         36         20        254        494         10          0
   44      97         12         10        765       1005         10          0
   45     121        112         20        236        476         10          0
   46      19         39         10        493        733         10          0
   47      66         40         20         30        270         10          0
   48      87         39         20         35        275         10          0
   49      63         50         10        159        399         10          0
   50     121        123          9        968       1208         10          0
   51     116         22         32        491        731         10          0
   52     137        101         12        617        857         10          0
   53     137        137         27        339        579         10          0
   54      70         94         32         24        264         10          0
   55     117         92         25       1072       1312         10        574
   56     122        113         20        281        521         10          0
   57     109         71         20         77        317         10          0
   58      35        102         10        629        869         10          0
   59      91        108         10        227        467         10          0
   60       8         87         17       1545       1785         10        574
   61     140         42         13        342        582         10          0
   62      16         38         20        308        548         10          0
   63      44         36          9        131        371         10          0
   64      60         84         23       1866       2106         10        852
   65     109        139          8        392        632         10          0
   66      80        103         15       1428       1668         10        574
   67      66         82         27       1944       2184         10        916
   68      99         26         40        221        461         10          0
   69      34        108         10        425        665         10          0
   70     135         65          3       1295       1535         10        574
   71      36        124         34        875       1115         10          0
   72     102         60         30        480        720         10          0
   73      30         21         12       1230       1470         10        574
   74     139        110         19        706        946         10          0
   75      10        111         21       1911       2151         10        916
   76      18         70         26       1504       1744         10        574
   77       4         28         10        516        756         10          0
   78      57         53         10        317        557         10          0
   79      54         41          9       1065       1305         10        574
   80     107         25         13       1035       1275         10        574
   81     110         99         21       1151       1391         10        574
   82      84         88         16       1365       1605         10        574
   83     101          0          9       1932       2172         10        916
   84      28         99         10         84        324         10          0
   85     119        114         20        184        424         10          0
   86     118        108         10        639        879         10          0
   87      50        112         18        867       1107         10          0
   88      44        116         27        152        392         10          0
   89      82        100         18        357        597         10          0
   90      83         12         29        861       1101         10          0
   91     126         23         13        994       1234         10          0
   92      85         75         37         15        255         10          0
   93      39         13         20       1443       1683         10        574
   94     120        136         10        398        638         10          0
   95     105          2          1        835       1075         10          0
   96      36         54         15       1428       1668         10        574
   97      35         90         20       1723       1963         10        852
   98     111         66         20        316        556         10          0
   99     119        136         30        354        594         10          0
  100      84         99         20         32        272         10          0
  101     137        127         28        722        962         10          0
  102      95         35         10        137        377         10          0
  103      69          6          8        272        512         10          0
  104       1         24         10        357        597         10          0
  105      31        112         20        365        605         10          0
  106     138         78         43        749        989         10          0
  107     100         99         17       1136       1376         10        574
  108     123        112         20        327        567         10          0
  109     119        130         20        552        792         10          0
  110      92         22         18        700        940         10          0
  111     137          7         40        563        803         10          0
  112     121        124         21        539        779         10          0
